"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 19 21:47:43 MSK 2025","Fri Sep 19 21:47:43 MSK 2025","858","","UserTests","","UserTests","loginWithWrongPasswordShouldReturnError","loginWithWrongPasswordShouldReturnError()","Логин с неверным паролем"
"passed","Fri Sep 19 21:47:33 MSK 2025","Fri Sep 19 21:47:34 MSK 2025","910","","LoginUserTests","","LoginUserTests","loginWithValidCredentialsShouldReturnSuccess","Логин под существующим пользователем","Проверка успешного логина с валидными credentials"
"passed","Fri Sep 19 21:47:33 MSK 2025","Fri Sep 19 21:47:33 MSK 2025","821","","LoginUserTests","","LoginUserTests","loginWithEmptyPasswordShouldReturnError","Логин с пустым паролем","Проверка ошибки при логине с пустым паролем"
"passed","Fri Sep 19 21:47:32 MSK 2025","Fri Sep 19 21:47:33 MSK 2025","162","","LoginUserTests","","LoginUserTests","loginWithEmptyEmailShouldReturnError","Логин с пустым email","Проверка ошибки при логине с пустым email"
"passed","Fri Sep 19 21:47:40 MSK 2025","Fri Sep 19 21:47:41 MSK 2025","1018","","UpdateUserTests","","UpdateUserTests","updatePasswordWithAuthorizationShouldReturnSuccess","Изменение пароля с авторизацией","Проверка изменения пароля авторизованным пользователем"
"passed","Fri Sep 19 21:47:14 MSK 2025","Fri Sep 19 21:47:15 MSK 2025","858","","CreateOrderTests","","CreateOrderTests","createOrderWithAuthorizationWithoutIngredientsShouldReturnError","Создание заказа с авторизацией без ингредиентов","Проверка ошибки при создании заказа без ингредиентов"
"passed","Fri Sep 19 21:47:18 MSK 2025","Fri Sep 19 21:47:18 MSK 2025","77","","GetUserOrdersTests","","GetUserOrdersTests","getOrdersWithInvalidTokenShouldReturnError","Получение заказов с невалидным токеном","Проверка ошибки при получении заказов с невалидным токеном авторизации"
"passed","Fri Sep 19 21:47:06 MSK 2025","Fri Sep 19 21:47:07 MSK 2025","922","","CreateOrderTests","","CreateOrderTests","createOrderWithInvalidIngredientHashShouldReturnError","Создание заказа с неверным хешем ингредиентов","Проверка ошибки при создании заказа с невалидными хешами ингредиентов"
"passed","Fri Sep 19 21:47:35 MSK 2025","Fri Sep 19 21:47:36 MSK 2025","806","","UpdateUserTests","","UpdateUserTests","updateNameWithoutAuthorizationShouldReturnError","Изменение имени без авторизации","Проверка ошибки при изменении имени без авторизации"
"passed","Fri Sep 19 21:47:23 MSK 2025","Fri Sep 19 21:47:32 MSK 2025","8881","","GetUserOrdersTests","","GetUserOrdersTests","getOrdersAfterMultipleOrdersShouldReturnAllOrders","Получение заказов после создания нескольких заказов","Проверка получения всех заказов пользователя после создания нескольких заказов"
"passed","Fri Sep 19 21:47:34 MSK 2025","Fri Sep 19 21:47:35 MSK 2025","943","","LoginUserTests","","LoginUserTests","loginWithInvalidPasswordShouldReturnError","Логин с неверным паролем","Проверка ошибки при логине с неверным паролем"
"passed","Fri Sep 19 21:47:44 MSK 2025","Fri Sep 19 21:47:44 MSK 2025","69","","UserTests","","UserTests","loginWithWrongEmailShouldReturnError","loginWithWrongEmailShouldReturnError()","Логин с неверным email"
"passed","Fri Sep 19 21:47:20 MSK 2025","Fri Sep 19 21:47:23 MSK 2025","3926","","GetUserOrdersTests","","GetUserOrdersTests","getOrdersForAuthorizedUserWithOrdersShouldReturnSuccess","Получение заказов авторизованного пользователя с заказами","Проверка получения заказов авторизованного пользователя, у которого есть заказы"
"passed","Fri Sep 19 21:47:37 MSK 2025","Fri Sep 19 21:47:38 MSK 2025","867","","UpdateUserTests","","UpdateUserTests","updatePasswordWithoutAuthorizationShouldReturnError","Изменение пароля без авторизации","Проверка ошибки при изменении пароля без авторизации"
"passed","Fri Sep 19 21:47:32 MSK 2025","Fri Sep 19 21:47:32 MSK 2025","73","","GetUserOrdersTests","","GetUserOrdersTests","getOrdersForUnauthorizedUserShouldReturnError","Получение заказов неавторизованного пользователя","Проверка ошибки при получении заказов неавторизованного пользователя"
"passed","Fri Sep 19 21:47:02 MSK 2025","Fri Sep 19 21:47:06 MSK 2025","4364","","CreateOrderTests","","CreateOrderTests","createOrderWithoutAuthorizationWithIngredientsShouldReturnSuccess","Создание заказа без авторизации с ингредиентами","Проверка успешного создания заказа неавторизованным пользователем с валидными ингредиентами"
"passed","Fri Sep 19 21:47:33 MSK 2025","Fri Sep 19 21:47:33 MSK 2025","78","","LoginUserTests","","LoginUserTests","loginWithInvalidEmailShouldReturnError","Логин с неверным email","Проверка ошибки при логине с несуществующим email"
"passed","Fri Sep 19 21:47:38 MSK 2025","Fri Sep 19 21:47:39 MSK 2025","865","","UpdateUserTests","","UpdateUserTests","updateEmailWithAuthorizationShouldReturnSuccess","Изменение email с авторизацией","Проверка изменения email авторизованным пользователем"
"passed","Fri Sep 19 21:47:41 MSK 2025","Fri Sep 19 21:47:42 MSK 2025","1059","","UpdateUserTests","","UpdateUserTests","updateAllFieldsWithAuthorizationShouldReturnSuccess","Изменение всех полей с авторизацией","Проверка изменения всех полей одновременно авторизованным пользователем"
"passed","Fri Sep 19 21:47:39 MSK 2025","Fri Sep 19 21:47:40 MSK 2025","809","","UpdateUserTests","","UpdateUserTests","updateEmailWithoutAuthorizationShouldReturnError","Изменение email без авторизации","Проверка ошибки при изменении email без авторизации"
"passed","Fri Sep 19 21:47:42 MSK 2025","Fri Sep 19 21:47:43 MSK 2025","779","","UserTests","","UserTests","loginWithExistingUserShouldReturnSuccess","loginWithExistingUserShouldReturnSuccess()","Логин под существующим пользователем"
"passed","Fri Sep 19 21:47:07 MSK 2025","Fri Sep 19 21:47:10 MSK 2025","3393","","CreateOrderTests","","CreateOrderTests","createOrderWithMultipleIngredientsShouldReturnSuccess","Создание заказа с несколькими ингредиентами","Проверка создания заказа с большим количеством ингредиентов"
"passed","Fri Sep 19 21:47:10 MSK 2025","Fri Sep 19 21:47:11 MSK 2025","85","","CreateOrderTests","","CreateOrderTests","createOrderWithoutAuthorizationWithoutIngredientsShouldReturnError","Создание заказа без авторизации без ингредиентов","Проверка ошибки при создании заказа без ингредиентов и без авторизации"
"passed","Fri Sep 19 21:47:18 MSK 2025","Fri Sep 19 21:47:20 MSK 2025","1213","","GetUserOrdersTests","","GetUserOrdersTests","getOrdersForAuthorizedUserWithoutOrdersShouldReturnEmptyList","Получение заказов авторизованного пользователя без заказов","Проверка получения заказов авторизованного пользователя, у которого нет заказов"
"passed","Fri Sep 19 21:47:11 MSK 2025","Fri Sep 19 21:47:14 MSK 2025","3425","","CreateOrderTests","","CreateOrderTests","createOrderWithAuthorizationAndIngredientsShouldReturnSuccess","Создание заказа с авторизацией и ингредиентами","Проверка успешного создания заказа авторизованным пользователем с валидными ингредиентами"
"passed","Fri Sep 19 21:47:15 MSK 2025","Fri Sep 19 21:47:18 MSK 2025","3351","","CreateOrderTests","","CreateOrderTests","createOrderWithSingleIngredientShouldReturnSuccess","Создание заказа с одним ингредиентом","Проверка создания заказа с минимальным количеством ингредиентов"
